product_id,product_name,department,year,week,weekly_units_sold,weekly_revenue,weekly_profit,avg_price,min_price,max_price,avg_discount_pct,avg_inventory,avg_inventory_ratio,festival_days,weekend_days,transaction_days,lag1_weekly_sales,lag2_weekly_sales,ma4_weekly_sales,price_change_pct,demand_change_pct,price_elasticity_est,revenue_per_unit,low_stock_flag
5,Green Chile Anytime Sauce,pantry,2024,1,122,1313.32,572.78,10.8,10.34,10.88,0.71,51.0,0.51,0,2,7,,,122.0,,,,10.76,0
5,Green Chile Anytime Sauce,pantry,2024,2,125,1340.56,581.81,10.73,10.34,10.88,1.43,44.57,0.45,0,2,7,122.0,,123.5,-0.01,0.02,-3.46,10.72,0
5,Green Chile Anytime Sauce,pantry,2024,3,116,1262.08,557.96,10.88,10.88,10.88,0.0,51.71,0.52,0,2,7,125.0,122.0,121.0,0.01,-0.07,-5.0,10.88,0
5,Green Chile Anytime Sauce,pantry,2024,4,132,1392.15,590.91,10.65,9.25,10.88,2.14,60.29,0.58,0,2,7,116.0,125.0,123.75,-0.02,0.14,-5.0,10.55,0
5,Green Chile Anytime Sauce,pantry,2024,5,120,1305.6,577.2,10.88,10.88,10.88,0.0,45.86,0.46,0,2,7,132.0,116.0,123.25,0.02,-0.09,-4.15,10.88,0
5,Green Chile Anytime Sauce,pantry,2024,6,125,1350.82,592.07,10.8,10.34,10.88,0.71,58.0,0.58,0,2,7,120.0,132.0,123.25,-0.01,0.04,-5.0,10.81,0
5,Green Chile Anytime Sauce,pantry,2024,7,122,1327.36,586.82,10.88,10.88,10.88,0.0,49.0,0.49,0,2,7,125.0,120.0,124.75,0.01,-0.02,-3.38,10.88,0
5,Green Chile Anytime Sauce,pantry,2024,8,111,1199.58,525.81,10.8,10.34,10.88,0.71,45.14,0.45,0,2,7,122.0,125.0,119.5,-0.01,-0.09,0.0,10.81,0
5,Green Chile Anytime Sauce,pantry,2024,9,113,1229.44,543.53,10.88,10.88,10.88,0.0,32.57,0.33,0,2,7,111.0,122.0,117.75,0.01,0.02,0.0,10.88,0
5,Green Chile Anytime Sauce,pantry,2024,10,128,1383.46,606.5,10.8,10.34,10.88,0.71,33.29,0.33,0,2,7,113.0,111.0,118.5,-0.01,0.13,-5.0,10.81,0
5,Green Chile Anytime Sauce,pantry,2024,11,117,1272.96,562.77,10.88,10.88,10.88,0.0,33.86,0.34,0,2,7,128.0,113.0,117.25,0.01,-0.09,-5.0,10.88,0
5,Green Chile Anytime Sauce,pantry,2024,12,127,1351.24,580.35,10.72,9.79,10.88,1.43,52.0,0.52,0,2,7,117.0,128.0,121.25,-0.01,0.09,-5.0,10.64,0
5,Green Chile Anytime Sauce,pantry,2024,13,138,1501.44,663.78,10.88,10.88,10.88,0.0,40.71,0.41,0,2,7,127.0,117.0,127.5,0.01,0.09,0.0,10.88,0
5,Green Chile Anytime Sauce,pantry,2024,14,114,1240.32,548.34,10.88,10.88,10.88,0.0,47.57,0.48,0,2,7,138.0,127.0,124.0,0.0,-0.17,,10.88,0
5,Green Chile Anytime Sauce,pantry,2024,15,126,1329.46,564.64,10.57,8.7,10.88,2.86,56.43,0.56,0,2,7,114.0,138.0,126.25,-0.03,0.11,-3.68,10.55,0
5,Green Chile Anytime Sauce,pantry,2024,16,117,1272.96,562.77,10.88,10.88,10.88,0.0,56.14,0.56,0,2,7,126.0,114.0,123.75,0.03,-0.07,-2.42,10.88,0
5,Green Chile Anytime Sauce,pantry,2024,17,123,1327.44,580.83,10.8,10.34,10.88,0.71,58.14,0.58,0,2,7,117.0,126.0,120.0,-0.01,0.05,-5.0,10.79,0
5,Green Chile Anytime Sauce,pantry,2024,18,89,957.42,417.19,10.72,9.79,10.88,1.43,39.0,0.39,0,2,7,123.0,117.0,113.75,-0.01,-0.28,0.0,10.76,0
5,Green Chile Anytime Sauce,pantry,2024,19,101,1042.2,429.13,10.41,8.7,10.88,4.29,44.14,0.44,0,2,7,89.0,123.0,107.5,-0.03,0.13,-4.65,10.32,0
5,Green Chile Anytime Sauce,pantry,2024,20,133,1413.25,605.94,10.72,9.79,10.88,1.43,43.71,0.44,0,2,7,101.0,89.0,111.5,0.03,0.32,0.0,10.63,0
5,Green Chile Anytime Sauce,pantry,2024,21,126,1370.88,606.06,10.88,10.88,10.88,0.0,51.57,0.52,0,2,7,133.0,101.0,112.25,0.01,-0.05,-3.63,10.88,0
5,Green Chile Anytime Sauce,pantry,2024,22,123,1338.24,591.63,10.88,10.88,10.88,0.0,32.43,0.32,0,2,7,126.0,133.0,120.75,0.0,-0.02,,10.88,0
5,Green Chile Anytime Sauce,pantry,2024,23,147,1584.78,692.49,10.8,10.34,10.88,0.71,48.29,0.48,0,2,7,123.0,126.0,132.25,-0.01,0.2,-5.0,10.78,0
5,Green Chile Anytime Sauce,pantry,2024,24,139,1466.54,622.81,10.57,8.7,10.88,2.86,47.0,0.47,0,2,7,147.0,123.0,133.75,-0.02,-0.05,0.0,10.55,0
5,Green Chile Anytime Sauce,pantry,2024,25,127,1381.76,610.87,10.88,10.88,10.88,0.0,45.86,0.46,0,2,7,139.0,147.0,134.0,0.03,-0.09,-2.92,10.88,0
5,Green Chile Anytime Sauce,pantry,2024,26,95,996.54,419.89,10.44,8.7,10.88,4.0,47.8,0.48,0,0,5,127.0,139.0,127.0,-0.04,-0.25,0.0,10.49,0
148,Nectarines,produce,2024,1,337,922.04,419.91,2.74,2.52,2.8,2.14,51.0,0.51,0,2,7,,,337.0,,,,2.74,0
148,Nectarines,produce,2024,2,331,926.8,433.61,2.8,2.8,2.8,0.0,52.57,0.53,0,2,7,337.0,,334.0,0.02,-0.02,-0.81,2.8,0
148,Nectarines,produce,2024,3,313,876.4,410.03,2.8,2.8,2.8,0.0,46.29,0.46,0,2,7,331.0,337.0,327.0,0.0,-0.05,,2.8,0
148,Nectarines,produce,2024,4,324,899.5,416.74,2.78,2.66,2.8,0.71,46.29,0.46,0,2,7,313.0,331.0,326.25,-0.01,0.04,-4.94,2.78,0
148,Nectarines,produce,2024,5,347,943.04,426.01,2.72,2.24,2.8,2.86,49.57,0.5,0,2,7,324.0,313.0,328.75,-0.02,0.07,-3.29,2.72,0
148,Nectarines,produce,2024,6,323,893.76,412.49,2.78,2.66,2.8,0.71,46.14,0.46,0,2,7,347.0,324.0,326.75,0.02,-0.07,-3.13,2.77,0
148,Nectarines,produce,2024,7,420,1169.7,543.9,2.78,2.66,2.8,0.71,60.29,0.6,0,2,7,323.0,347.0,353.5,0.0,0.3,,2.78,0
148,Nectarines,produce,2024,8,322,901.6,421.82,2.8,2.8,2.8,0.0,47.29,0.47,0,2,7,420.0,323.0,353.0,0.01,-0.23,-5.0,2.8,0
148,Nectarines,produce,2024,9,281,783.86,365.17,2.78,2.66,2.8,0.71,40.43,0.4,0,2,7,322.0,420.0,336.5,-0.01,-0.13,0.0,2.79,0
148,Nectarines,produce,2024,10,362,1013.6,474.22,2.8,2.8,2.8,0.0,58.0,0.58,0,2,7,281.0,322.0,346.25,0.01,0.29,0.0,2.8,0
